nom_club,url_ffhb
entente mulhouse,https://monclub.ffhandball.fr/clubs/entente-mulhouse/
colmar hc,https://monclub.ffhandball.fr/clubs/colmar-hc/
hbc wintzenheim,https://monclub.ffhandball.fr/clubs/hbc-wintzenheim/
asco mulhouse handball,https://monclub.ffhandball.fr/clubs/asco-mulhouse-handball/
sierentz hbc,https://monclub.ffhandball.fr/clubs/sierentz-hbc/
brunstatt didenheim hb,https://monclub.ffhandball.fr/clubs/brunstatt-didenheim-hb/
hbvn soultzmatt,https://monclub.ffhandball.fr/clubs/hbvn-soultzmatt/
soultz hb,https://monclub.ffhandball.fr/clubs/soultz-hb/
colmar alsace racing 94,https://monclub.ffhandball.fr/clubs/colmar-alsace-racing-94/
asptt mulhouse rixheim,https://monclub.ffhandball.fr/clubs/asptt-mulhouse-rixheim/
habsheim st martin,https://monclub.ffhandball.fr/clubs/habsheim-st-martin/
brustlein hbc,https://monclub.ffhandball.fr/clubs/brustlein-hbc/
cernay wattwiller handball,https://monclub.ffhandball.fr/clubs/cernay-wattwiller-handball/
hbc ribeauville,https://monclub.ffhandball.fr/clubs/hbc-ribeauville/
sasl guebwiller,https://monclub.ffhandball.fr/clubs/sasl-guebwiller/
ascs druot,https://monclub.ffhandball.fr/clubs/ascs-druot/
hbc ungersheim,https://monclub.ffhandball.fr/clubs/hbc-ungersheim/
hc village neuf,https://monclub.ffhandball.fr/clubs/hc-village-neuf/
bergerac perigord pourpre handball,https://monclub.ffhandball.fr/clubs/bergerac-perigord-pourpre-handball/
al cendrieux handball,https://monclub.ffhandball.fr/clubs/al-cendrieux-handball/
hb eulalien,https://monclub.ffhandball.fr/clubs/hb-eulalien/
hbc champcevinel,https://monclub.ffhandball.fr/clubs/hbc-champcevinel/
la piegutaine handball,https://monclub.ffhandball.fr/clubs/la-piegutaine-handball/
montpon menesterol handball,https://monclub.ffhandball.fr/clubs/montpon-menesterol-handball/
perigueux handball,https://monclub.ffhandball.fr/clubs/perigueux-handball/
ca riberacois hb,https://monclub.ffhandball.fr/clubs/ca-riberacois-hb/
la force handball,https://monclub.ffhandball.fr/clubs/la-force-handball/
sarlat handball perigord noir,https://monclub.ffhandball.fr/clubs/sarlat-handball-perigord-noir/
gips hb tocane,https://monclub.ffhandball.fr/clubs/gips-hb-tocane/
co coulounieix chamiers hb,https://monclub.ffhandball.fr/clubs/co-coulounieix-chamiers-hb/
cepe vert handball,https://monclub.ffhandball.fr/clubs/cepe-vert-handball/
hbc mussidan,https://monclub.ffhandball.fr/clubs/hbc-mussidan/
handball foyen velinois,https://monclub.ffhandball.fr/clubs/handball-foyen-velinois/
us lalinde handball,https://monclub.ffhandball.fr/clubs/us-lalinde-handball/
bugue athletique club handball,https://monclub.ffhandball.fr/clubs/bugue-athletique-club-handball/
handball salignacois,https://monclub.ffhandball.fr/clubs/handball-salignacois/
bordeaux etudiants club,https://monclub.ffhandball.fr/clubs/bordeaux-etudiants-club/
merignac handball,https://monclub.ffhandball.fr/clubs/merignac-handball/
us mios biganos,https://monclub.ffhandball.fr/clubs/us-mios-biganos/
stade pessacais union club handball,https://monclub.ffhandball.fr/clubs/stade-pessacais-union-club-handball/
andernos handball nord bassin,https://monclub.ffhandball.fr/clubs/andernos-handball-nord-bassin/
hbc belin beliet,https://monclub.ffhandball.fr/clubs/hbc-belin-beliet/
stade blayais haute gironde hb,https://monclub.ffhandball.fr/clubs/stade-blayais-haute-gironde-hb/
bruges 33 handball,https://monclub.ffhandball.fr/clubs/bruges-33-handball/
carbon blanc hb,https://monclub.ffhandball.fr/clubs/carbon-blanc-hb/
hbc pays castillonnais,https://monclub.ffhandball.fr/clubs/hbc-pays-castillonnais/
